trial_num	condition	stimulus	start_time	go_signal	resp_time	record_time
1	word	less ser leh ther neh ver day the thir ti three thieves thought throne how much would a chuck if thrilled	4.0	4.0	4.0	4.5
2	random	would if much how pro a less through ver leh neh pot per ser ther fee chuck thrilled caw thurs day	13.0	4.0	4.0	4.5
3	random	thieves the ser day would ther a throne thrilled neh leh ti three less thir thought if ver much how chuck	22.0	4.0	4.0	4.5
4	word	less ser leh ther neh ver day how much would a chuck if thrilled the thir ti three thieves thought throne	31.0	4.0	4.0	4.5
5	simple	less less less less less less less less less	40.0	4.0	4.0	4.5
6	simple	ver ver ver ver ver ver ver ver ver	49.0	4.0	4.0	4.5
7	word	less ser leh ther neh ver day pro per caw fee pot through thurs how much would a chuck if thrilled	58.0	4.0	4.0	4.5
8	random	less ver if pot leh fee how thrilled per day thurs chuck pro a neh caw would much ther through ser	67.0	4.0	4.0	4.5
9	random	ti caw throne if thurs much chuck pot thrilled per a thir three would how through pro thought thieves fee the	76.0	4.0	4.0	4.5
10	simple	the the the the the the the the the	85.0	4.0	4.0	4.5
11	random	ti leh how less three ther ver neh much the a day thir throne thought ser chuck if would thrilled thieves	94.0	4.0	4.0	4.5
12	word	pro per caw fee pot through thurs the thir ti three thieves thought throne less ser leh ther neh ver day	103.0	4.0	4.0	4.5
13	simple	would would would would would would would would would	112.0	4.0	4.0	4.5
14	random	ver pro how less a thurs caw neh leh ser thrilled day chuck if per through much pot fee ther would	121.0	4.0	4.0	4.5
15	simple	if if if if if if if if if	130.0	4.0	4.0	4.5
16	random	ti ser leh ther fee pro day ver thought three the thurs throne caw pot thir through neh thieves less per	139.0	4.0	4.0	4.5
17	word	how much would a chuck if thrilled the thir ti three thieves thought throne less ser leh ther neh ver day	148.0	4.0	4.0	4.5
18	random	fee would how ser through ther if chuck pot thrilled caw pro per thurs less leh a day much neh ver	157.0	4.0	4.0	4.5
19	word	how much would a chuck if thrilled less ser leh ther neh ver day pro per caw fee pot through thurs	166.0	4.0	4.0	4.5
20	word	the thir ti three thieves thought throne pro per caw fee pot through thurs how much would a chuck if thrilled	175.0	4.0	4.0	4.5
21	word	the thir ti three thieves thought throne pro per caw fee pot through thurs less ser leh ther neh ver day	184.0	4.0	4.0	4.5
22	simple	thought thought thought thought thought thought thought thought thought	193.0	4.0	4.0	4.5
23	word	pro per caw fee pot through thurs how much would a chuck if thrilled less ser leh ther neh ver day	202.0	4.0	4.0	4.5
24	word	less ser leh ther neh ver day the thir ti three thieves thought throne pro per caw fee pot through thurs	211.0	4.0	4.0	4.5
25	random	a much if through fee less thurs would how thrilled ver pro pot neh ser per ther leh caw chuck day	220.0	4.0	4.0	4.5
26	word	pro per caw fee pot through thurs less ser leh ther neh ver day how much would a chuck if thrilled	229.0	4.0	4.0	4.5
27	word	how much would a chuck if thrilled pro per caw fee pot through thurs the thir ti three thieves thought throne	238.0	4.0	4.0	4.5
28	random	thurs thieves caw would pot thrilled throne a if much chuck the pro per fee three thought through thir ti how	247.0	4.0	4.0	4.5
29	simple	pro pro pro pro pro pro pro pro pro	256.0	4.0	4.0	4.5
30	word	less ser leh ther neh ver day pro per caw fee pot through thurs the thir ti three thieves thought throne	265.0	4.0	4.0	4.5
31	word	less ser leh ther neh ver day how much would a chuck if thrilled pro per caw fee pot through thurs	274.0	4.0	4.0	4.5
32	simple	fee fee fee fee fee fee fee fee fee	283.0	4.0	4.0	4.5
33	random	caw ther per less ser through the fee throne thought day neh thieves ti thir three ver pot leh thurs pro	292.0	4.0	4.0	4.5
34	random	ther ti neh thurs thought less per fee thieves ser pot thir ver the pro three caw day leh through throne	301.0	4.0	4.0	4.5
35	random	how pro thrilled ti three chuck per through thieves throne caw a if much thurs pot the thought would thir fee	310.0	4.0	4.0	4.5
36	simple	pot pot pot pot pot pot pot pot pot	319.0	4.0	4.0	4.5
37	simple	ti ti ti ti ti ti ti ti ti	328.0	4.0	4.0	4.5
