trial_num	condition	stimulus	start_time	go_signal	resp_time	record_time	iti_dur
1	simple	much much much much much much much much much	5.0	1.0	4.0	5.0	1.0
2	simple	mih mih mih mih mih mih mih mih mih	11.0	1.0	4.0	5.0	1.0
3	simple	out out out out out out out out out	17.0	1.0	4.0	5.0	1.0
4	simple	imah imah imah imah imah imah imah imah imah	23.0	1.0	4.0	5.0	1.0
5	simple	per per per per per per per per per	29.0	1.0	4.0	5.0	1.0
6	simple	ther ther ther ther ther ther ther ther ther	35.0	1.0	4.0	5.0	1.0
7	simple	three three three three three three three three three	41.0	1.0	4.0	5.0	1.0
8	simple	day day day day day day day day day	47.0	1.0	4.0	5.0	1.0
9	simple	neh neh neh neh neh neh neh neh neh	53.0	1.0	4.0	5.0	1.0
10	simple	chuck chuck chuck chuck chuck chuck chuck chuck chuck	59.0	1.0	4.0	5.0	1.0
11	simple	jin jin jin jin jin jin jin jin jin	65.0	1.0	4.0	5.0	1.0
12	simple	thir thir thir thir thir thir thir thir thir	71.0	1.0	4.0	5.0	1.0
13	simple	leh leh leh leh leh leh leh leh leh	77.0	1.0	4.0	5.0	1.0
14	simple	thieves thieves thieves thieves thieves thieves thieves thieves thieves	83.0	1.0	4.0	5.0	1.0
15	simple	ser ser ser ser ser ser ser ser ser	89.0	1.0	4.0	5.0	1.0
16	simple	less less less less less less less less less	95.0	1.0	4.0	5.0	1.0
17	simple	pi pi pi pi pi pi pi pi pi	101.0	1.0	4.0	5.0	1.0
18	simple	if if if if if if if if if	107.0	1.0	4.0	5.0	1.0
19	simple	the the the the the the the the the	113.0	1.0	4.0	5.0	1.0
20	simple	juh juh juh juh juh juh juh juh juh	119.0	1.0	4.0	5.0	1.0
21	simple	thrilled thrilled thrilled thrilled thrilled thrilled thrilled thrilled thrilled	125.0	1.0	4.0	5.0	1.0
22	simple	ti ti ti ti ti ti ti ti ti	131.0	1.0	4.0	5.0	1.0
23	simple	ver ver ver ver ver ver ver ver ver	137.0	1.0	4.0	5.0	1.0
24	simple	how how how how how how how how how	143.0	1.0	4.0	5.0	1.0
25	simple	airy airy airy airy airy airy airy airy airy	149.0	1.0	4.0	5.0	1.0
26	simple	throne throne throne throne throne throne throne throne throne	155.0	1.0	4.0	5.0	1.0
27	simple	picked picked picked picked picked picked picked picked picked	161.0	1.0	4.0	5.0	1.0
28	simple	naw naw naw naw naw naw naw naw naw	167.0	1.0	4.0	5.0	1.0
29	simple	a a a a a a a a a	173.0	1.0	4.0	5.0	1.0
30	simple	pie pie pie pie pie pie pie pie pie	179.0	1.0	4.0	5.0	1.0
31	simple	jur jur jur jur jur jur jur jur jur	185.0	1.0	4.0	5.0	1.0
32	simple	peck peck peck peck peck peck peck peck peck	191.0	1.0	4.0	5.0	1.0
33	simple	thought thought thought thought thought thought thought thought thought	197.0	1.0	4.0	5.0	1.0
34	simple	ter ter ter ter ter ter ter ter ter	203.0	1.0	4.0	5.0	1.0
