trial_num	condition	stimulus	start_time	go_signal	resp_time	record_time	iti_dur
1	simple	the the the the the the the the the	5.0	1.0	4.0	5.0	1.0
2	simple	pot pot pot pot pot pot pot pot pot	11.0	1.0	4.0	5.0	1.0
3	simple	picked picked picked picked picked picked picked picked picked	17.0	1.0	4.0	5.0	1.0
4	simple	ti ti ti ti ti ti ti ti ti	23.0	1.0	4.0	5.0	1.0
5	simple	naw naw naw naw naw naw naw naw naw	29.0	1.0	4.0	5.0	1.0
6	simple	through through through through through through through through through	35.0	1.0	4.0	5.0	1.0
7	simple	a a a a a a a a a	41.0	1.0	4.0	5.0	1.0
8	simple	much much much much much much much much much	47.0	1.0	4.0	5.0	1.0
9	simple	pie pie pie pie pie pie pie pie pie	53.0	1.0	4.0	5.0	1.0
10	simple	would would would would would would would would would	59.0	1.0	4.0	5.0	1.0
11	simple	thir thir thir thir thir thir thir thir thir	65.0	1.0	4.0	5.0	1.0
12	simple	peck peck peck peck peck peck peck peck peck	71.0	1.0	4.0	5.0	1.0
13	simple	per per per per per per per per per	77.0	1.0	4.0	5.0	1.0
14	simple	thieves thieves thieves thieves thieves thieves thieves thieves thieves	83.0	1.0	4.0	5.0	1.0
15	simple	how how how how how how how how how	89.0	1.0	4.0	5.0	1.0
16	simple	out out out out out out out out out	95.0	1.0	4.0	5.0	1.0
17	simple	ter ter ter ter ter ter ter ter ter	101.0	1.0	4.0	5.0	1.0
18	simple	imah imah imah imah imah imah imah imah imah	107.0	1.0	4.0	5.0	1.0
19	simple	chuck chuck chuck chuck chuck chuck chuck chuck chuck	113.0	1.0	4.0	5.0	1.0
20	simple	mih mih mih mih mih mih mih mih mih	119.0	1.0	4.0	5.0	1.0
21	simple	airy airy airy airy airy airy airy airy airy	125.0	1.0	4.0	5.0	1.0
22	simple	jin jin jin jin jin jin jin jin jin	131.0	1.0	4.0	5.0	1.0
23	simple	pi pi pi pi pi pi pi pi pi	137.0	1.0	4.0	5.0	1.0
24	simple	fee fee fee fee fee fee fee fee fee	143.0	1.0	4.0	5.0	1.0
25	simple	three three three three three three three three three	149.0	1.0	4.0	5.0	1.0
26	simple	caw caw caw caw caw caw caw caw caw	155.0	1.0	4.0	5.0	1.0
27	simple	pro pro pro pro pro pro pro pro pro	161.0	1.0	4.0	5.0	1.0
28	simple	juh juh juh juh juh juh juh juh juh	167.0	1.0	4.0	5.0	1.0
29	simple	thought thought thought thought thought thought thought thought thought	173.0	1.0	4.0	5.0	1.0
30	simple	if if if if if if if if if	179.0	1.0	4.0	5.0	1.0
31	simple	thrilled thrilled thrilled thrilled thrilled thrilled thrilled thrilled thrilled	185.0	1.0	4.0	5.0	1.0
32	simple	jur jur jur jur jur jur jur jur jur	191.0	1.0	4.0	5.0	1.0
33	simple	throne throne throne throne throne throne throne throne throne	197.0	1.0	4.0	5.0	1.0
