trial_num	condition	stimulus	start_time	go_signal	resp_time	record_time
1	simple	juh juh juh juh juh juh juh juh juh	4.0	4.0	4.0	4.5
2	simple	picked picked picked picked picked picked picked picked picked	13.0	4.0	4.0	4.5
3	simple	per per per per per per per per per	22.0	4.0	4.0	4.5
4	simple	ser ser ser ser ser ser ser ser ser	31.0	4.0	4.0	4.5
5	simple	ther ther ther ther ther ther ther ther ther	40.0	4.0	4.0	4.5
6	simple	pie pie pie pie pie pie pie pie pie	49.0	4.0	4.0	4.5
7	simple	ter ter ter ter ter ter ter ter ter	58.0	4.0	4.0	4.5
8	simple	thrilled thrilled thrilled thrilled thrilled thrilled thrilled thrilled thrilled	67.0	4.0	4.0	4.5
9	simple	much much much much much much much much much	76.0	4.0	4.0	4.5
10	simple	pie pie pie pie pie pie pie pie pie	85.0	4.0	4.0	4.5
11	simple	mih mih mih mih mih mih mih mih mih	94.0	4.0	4.0	4.5
12	simple	less less less less less less less less less	103.0	4.0	4.0	4.5
13	simple	if if if if if if if if if	112.0	4.0	4.0	4.5
14	simple	day day day day day day day day day	121.0	4.0	4.0	4.5
15	simple	naw naw naw naw naw naw naw naw naw	130.0	4.0	4.0	4.5
16	simple	airy airy airy airy airy airy airy airy airy	139.0	4.0	4.0	4.5
17	simple	day day day day day day day day day	148.0	4.0	4.0	4.5
18	simple	peck peck peck peck peck peck peck peck peck	157.0	4.0	4.0	4.5
19	simple	out out out out out out out out out	166.0	4.0	4.0	4.5
20	simple	would would would would would would would would would	175.0	4.0	4.0	4.5
21	simple	how how how how how how how how how	184.0	4.0	4.0	4.5
22	simple	leh leh leh leh leh leh leh leh leh	193.0	4.0	4.0	4.5
23	simple	a a a a a a a a a	202.0	4.0	4.0	4.5
24	simple	ser ser ser ser ser ser ser ser ser	211.0	4.0	4.0	4.5
25	simple	leh leh leh leh leh leh leh leh leh	220.0	4.0	4.0	4.5
26	simple	juh juh juh juh juh juh juh juh juh	229.0	4.0	4.0	4.5
27	simple	ter ter ter ter ter ter ter ter ter	238.0	4.0	4.0	4.5
