trial_num	condition	stimulus	start_time	go_signal	resp_time	record_time	rest_dur
1	0	pi pi pi pi pi pi pi pi pi 	4.0	1	4.0	4.5	2.0
2	0	out out out out out out out out out 	10.0	1	4.0	4.5	2.0
3	0	leh leh leh leh leh leh leh leh leh 	16.0	1	4.0	4.5	2.0
4	0	pot pot pot pot pot pot pot pot pot 	22.0	1	4.0	4.5	2.0
5	0	ser ser ser ser ser ser ser ser ser 	28.0	1	4.0	4.5	2.0
6	0	throne throne throne throne throne throne throne throne throne 	34.0	1	4.0	4.5	2.0
7	0	neh neh neh neh neh neh neh neh neh 	40.0	1	4.0	4.5	2.0
8	0	ver ver ver ver ver ver ver ver ver 	46.0	1	4.0	4.5	2.0
9	0	pi pi pi pi pi pi pi pi pi 	52.0	1	4.0	4.5	2.0
10	0	neh neh neh neh neh neh neh neh neh 	58.0	1	4.0	4.5	2.0
11	0	leh leh leh leh leh leh leh leh leh 	64.0	1	4.0	4.5	2.0
12	0	out out out out out out out out out 	70.0	1	4.0	4.5	2.0
13	0	juh juh juh juh juh juh juh juh juh 	76.0	1	4.0	4.5	2.0
14	0	ser ser ser ser ser ser ser ser ser 	82.0	1	4.0	4.5	2.0
15	0	ver ver ver ver ver ver ver ver ver 	88.0	1	4.0	4.5	2.0
16	0	throne throne throne throne throne throne throne throne throne 	94.0	1	4.0	4.5	2.0
17	0	pot pot pot pot pot pot pot pot pot 	100.0	1	4.0	4.5	2.0
18	0	out out out out out out out out out 	106.0	1	4.0	4.5	2.0
19	0	throne throne throne throne throne throne throne throne throne 	112.0	1	4.0	4.5	2.0
20	0	neh neh neh neh neh neh neh neh neh 	118.0	1	4.0	4.5	2.0
21	0	pi pi pi pi pi pi pi pi pi 	124.0	1	4.0	4.5	2.0
22	0	leh leh leh leh leh leh leh leh leh 	130.0	1	4.0	4.5	2.0
23	0	ser ser ser ser ser ser ser ser ser 	136.0	1	4.0	4.5	2.0
24	0	ver ver ver ver ver ver ver ver ver 	142.0	1	4.0	4.5	2.0
25	0	neh neh neh neh neh neh neh neh neh 	148.0	1	4.0	4.5	2.0
26	0	ver ver ver ver ver ver ver ver ver 	154.0	1	4.0	4.5	2.0
27	0	ter ter ter ter ter ter ter ter ter 	160.0	1	4.0	4.5	2.0
28	0	out out out out out out out out out 	166.0	1	4.0	4.5	2.0
29	0	ser ser ser ser ser ser ser ser ser 	172.0	1	4.0	4.5	2.0
30	0	pi pi pi pi pi pi pi pi pi 	178.0	1	4.0	4.5	2.0
31	0	leh leh leh leh leh leh leh leh leh 	184.0	1	4.0	4.5	2.0
32	0	throne throne throne throne throne throne throne throne throne 	190.0	1	4.0	4.5	2.0
33	0	neh neh neh neh neh neh neh neh neh 	196.0	1	4.0	4.5	2.0
34	0	juh juh juh juh juh juh juh juh juh 	202.0	1	4.0	4.5	2.0
35	0	leh leh leh leh leh leh leh leh leh 	208.0	1	4.0	4.5	2.0
36	0	out out out out out out out out out 	214.0	1	4.0	4.5	2.0
37	0	ter ter ter ter ter ter ter ter ter 	220.0	1	4.0	4.5	2.0
38	0	ver ver ver ver ver ver ver ver ver 	226.0	1	4.0	4.5	2.0
39	0	throne throne throne throne throne throne throne throne throne 	232.0	1	4.0	4.5	2.0
40	0	ser ser ser ser ser ser ser ser ser 	238.0	1	4.0	4.5	2.0
41	0	ver ver ver ver ver ver ver ver ver 	244.0	1	4.0	4.5	2.0
42	0	pi pi pi pi pi pi pi pi pi 	250.0	1	4.0	4.5	2.0
43	0	ter ter ter ter ter ter ter ter ter 	256.0	1	4.0	4.5	2.0
44	0	neh neh neh neh neh neh neh neh neh 	262.0	1	4.0	4.5	2.0
45	0	juh juh juh juh juh juh juh juh juh 	268.0	1	4.0	4.5	2.0
46	0	throne throne throne throne throne throne throne throne throne 	274.0	1	4.0	4.5	2.0
47	0	pot pot pot pot pot pot pot pot pot 	280.0	1	4.0	4.5	2.0
48	0	ser ser ser ser ser ser ser ser ser 	286.0	1	4.0	4.5	2.0
49	0	out out out out out out out out out 	292.0	1	4.0	4.5	2.0
50	0	leh leh leh leh leh leh leh leh leh 	298.0	1	4.0	4.5	2.0
51	0	neh neh neh neh neh neh neh neh neh 	304.0	1	4.0	4.5	2.0
52	0	juh juh juh juh juh juh juh juh juh 	310.0	1	4.0	4.5	2.0
53	0	pi pi pi pi pi pi pi pi pi 	316.0	1	4.0	4.5	2.0
54	0	throne throne throne throne throne throne throne throne throne 	322.0	1	4.0	4.5	2.0
55	0	pot pot pot pot pot pot pot pot pot 	328.0	1	4.0	4.5	2.0
56	0	ser ser ser ser ser ser ser ser ser 	334.0	1	4.0	4.5	2.0
57	0	ser ser ser ser ser ser ser ser ser 	340.0	1	4.0	4.5	2.0
58	0	ter ter ter ter ter ter ter ter ter 	346.0	1	4.0	4.5	2.0
59	0	out out out out out out out out out 	352.0	1	4.0	4.5	2.0
60	0	throne throne throne throne throne throne throne throne throne 	358.0	1	4.0	4.5	2.0
61	0	neh neh neh neh neh neh neh neh neh 	364.0	1	4.0	4.5	2.0
62	0	pot pot pot pot pot pot pot pot pot 	370.0	1	4.0	4.5	2.0
63	0	leh leh leh leh leh leh leh leh leh 	376.0	1	4.0	4.5	2.0
64	0	pi pi pi pi pi pi pi pi pi 	382.0	1	4.0	4.5	2.0
