trial_num	condition	stimulus	start_time	go_signal	resp_time	record_time
1	simple	ti ti ti ti ti ti ti ti ti	4.0	4.0	4.0	4.5
2	word	how much would a chuck if thrilled pro per caw fee pot through thurs imah jin airy mih naw juh jur	13.0	4.0	4.0	4.5
3	word	pro per caw fee pot through thurs imah jin airy mih naw juh jur the thir ti three thieves thought throne	22.0	4.0	4.0	4.5
4	random	thrilled much how if mih airy juh jin a imah jur thought the three would thir ti throne chuck thieves naw	31.0	4.0	4.0	4.5
5	simple	thrilled thrilled thrilled thrilled thrilled thrilled thrilled thrilled thrilled	40.0	4.0	4.0	4.5
6	random	if thrilled how caw much through fee a per would pot naw airy imah thurs jur pro jin chuck juh mih	49.0	4.0	4.0	4.5
7	random	fee thought pot jur jin thieves the airy throne three caw thir thurs per naw pro imah mih through juh ti	58.0	4.0	4.0	4.5
8	word	pro per caw fee pot through thurs the thir ti three thieves thought throne how much would a chuck if thrilled	67.0	4.0	4.0	4.5
9	random	thieves imah thir airy caw the three pro fee jin jur throne pot thought thurs mih per juh naw ti through	76.0	4.0	4.0	4.5
10	simple	fee fee fee fee fee fee fee fee fee	85.0	4.0	4.0	4.5
11	word	imah jin airy mih naw juh jur pro per caw fee pot through thurs the thir ti three thieves thought throne	94.0	4.0	4.0	4.5
12	simple	juh juh juh juh juh juh juh juh juh	103.0	4.0	4.0	4.5
13	random	per jin how if imah airy naw thurs caw pro mih much would fee through pot jur juh thrilled chuck a	112.0	4.0	4.0	4.5
14	simple	three three three three three three three three three	121.0	4.0	4.0	4.5
15	word	imah jin airy mih naw juh jur pro per caw fee pot through thurs how much would a chuck if thrilled	130.0	4.0	4.0	4.5
16	simple	airy airy airy airy airy airy airy airy airy	139.0	4.0	4.0	4.5
17	word	imah jin airy mih naw juh jur how much would a chuck if thrilled the thir ti three thieves thought throne	148.0	4.0	4.0	4.5
18	simple	jur jur jur jur jur jur jur jur jur	157.0	4.0	4.0	4.5
19	word	how much would a chuck if thrilled the thir ti three thieves thought throne imah jin airy mih naw juh jur	166.0	4.0	4.0	4.5
20	simple	imah imah imah imah imah imah imah imah imah	175.0	4.0	4.0	4.5
21	word	the thir ti three thieves thought throne how much would a chuck if thrilled pro per caw fee pot through thurs	184.0	4.0	4.0	4.5
22	simple	a a a a a a a a a	193.0	4.0	4.0	4.5
23	random	thurs through throne per if thought thir pot how ti chuck three the pro fee would caw much thrilled a thieves	202.0	4.0	4.0	4.5
24	random	juh thir thought caw airy thieves throne mih the pro fee imah naw pot three through ti jur thurs per jin	211.0	4.0	4.0	4.5
25	simple	would would would would would would would would would	220.0	4.0	4.0	4.5
26	simple	thought thought thought thought thought thought thought thought thought	229.0	4.0	4.0	4.5
27	random	ti chuck would fee the through a much thought per pot thrilled pro thir throne caw how thurs if thieves three	238.0	4.0	4.0	4.5
28	random	a pro thought chuck per fee thir pot if how would caw throne the ti three thrilled through thieves thurs much	247.0	4.0	4.0	4.5
29	random	pro pot caw fee per thieves thurs naw three through throne airy thir imah ti jur thought the juh mih jin	256.0	4.0	4.0	4.5
30	word	pro per caw fee pot through thurs the thir ti three thieves thought throne imah jin airy mih naw juh jur	265.0	4.0	4.0	4.5
31	word	imah jin airy mih naw juh jur how much would a chuck if thrilled pro per caw fee pot through thurs	274.0	4.0	4.0	4.5
32	word	how much would a chuck if thrilled imah jin airy mih naw juh jur the thir ti three thieves thought throne	283.0	4.0	4.0	4.5
33	random	through chuck jin would a how caw much thurs if airy naw imah per juh jur fee pot pro thrilled mih	292.0	4.0	4.0	4.5
34	random	throne how thought would the thir jin juh a jur thieves airy much imah mih thrilled three ti chuck if naw	301.0	4.0	4.0	4.5
35	simple	through through through through through through through through through	310.0	4.0	4.0	4.5
36	word	imah jin airy mih naw juh jur the thir ti three thieves thought throne how much would a chuck if thrilled	319.0	4.0	4.0	4.5
37	simple	throne throne throne throne throne throne throne throne throne	328.0	4.0	4.0	4.5
