trial_num	condition	stimulus	start_time	go_signal	resp_time	record_time
1	simple	less less less less less less less less less	4.0	4.0	4.0	4.5
2	simple	thurs thurs thurs thurs thurs thurs thurs thurs thurs	13.0	4.0	4.0	4.5
3	simple	pie pie pie pie pie pie pie pie pie	22.0	4.0	4.0	4.5
4	simple	ther ther ther ther ther ther ther ther ther	31.0	4.0	4.0	4.5
5	simple	through through through through through through through through through	40.0	4.0	4.0	4.5
6	simple	chuck chuck chuck chuck chuck chuck chuck chuck chuck	49.0	4.0	4.0	4.5
7	simple	would would would would would would would would would	58.0	4.0	4.0	4.5
8	simple	if if if if if if if if if	67.0	4.0	4.0	4.5
9	simple	pi pi pi pi pi pi pi pi pi	76.0	4.0	4.0	4.5
10	simple	caw caw caw caw caw caw caw caw caw	85.0	4.0	4.0	4.5
11	simple	thrilled thrilled thrilled thrilled thrilled thrilled thrilled thrilled thrilled	94.0	4.0	4.0	4.5
12	simple	would would would would would would would would would	103.0	4.0	4.0	4.5
13	simple	neh neh neh neh neh neh neh neh neh	112.0	4.0	4.0	4.5
14	simple	how how how how how how how how how	121.0	4.0	4.0	4.5
15	simple	chuck chuck chuck chuck chuck chuck chuck chuck chuck	130.0	4.0	4.0	4.5
16	simple	peck peck peck peck peck peck peck peck peck	139.0	4.0	4.0	4.5
17	simple	picked picked picked picked picked picked picked picked picked	148.0	4.0	4.0	4.5
18	simple	per per per per per per per per per	157.0	4.0	4.0	4.5
19	simple	pro pro pro pro pro pro pro pro pro	166.0	4.0	4.0	4.5
20	simple	through through through through through through through through through	175.0	4.0	4.0	4.5
21	simple	ser ser ser ser ser ser ser ser ser	184.0	4.0	4.0	4.5
22	simple	pie pie pie pie pie pie pie pie pie	193.0	4.0	4.0	4.5
23	simple	per per per per per per per per per	202.0	4.0	4.0	4.5
24	simple	much much much much much much much much much	211.0	4.0	4.0	4.5
25	simple	ter ter ter ter ter ter ter ter ter	220.0	4.0	4.0	4.5
26	simple	a a a a a a a a a	229.0	4.0	4.0	4.5
