trial_num	condition	stimulus	start_time	go_signal	resp_time	record_time
1	simple	thieves thieves thieves thieves thieves thieves thieves thieves thieves	4.0	4.0	4.0	4.5
2	random	ver mih peck naw out less jur ter neh per ser ther juh leh airy pi pie imah day jin picked	13.0	4.0	4.0	4.5
3	random	pie picked neh day out leh the peck ser thought ti thir throne ver thieves less three pi ter ther per	22.0	4.0	4.0	4.5
4	random	picked thought peck juh mih thir ti jin naw out pie per three imah throne airy ter thieves jur the pi	31.0	4.0	4.0	4.5
5	simple	juh juh juh juh juh juh juh juh juh	40.0	4.0	4.0	4.5
6	word	imah jin airy mih naw juh jur less ser leh ther neh ver day the thir ti three thieves thought throne	49.0	4.0	4.0	4.5
7	random	ser three thieves thir peck pie pi throne ti ver leh neh day ter picked per the less ther thought out	58.0	4.0	4.0	4.5
8	word	imah jin airy mih naw juh jur pi ter pie per picked peck out less ser leh ther neh ver day	67.0	4.0	4.0	4.5
9	random	mih less day thir ver jin ti juh thieves the naw ser throne thought airy leh ther neh three imah jur	76.0	4.0	4.0	4.5
10	word	pi ter pie per picked peck out the thir ti three thieves thought throne less ser leh ther neh ver day	85.0	4.0	4.0	4.5
11	word	the thir ti three thieves thought throne pi ter pie per picked peck out less ser leh ther neh ver day	94.0	4.0	4.0	4.5
12	random	neh per three pi thieves pie the ti throne ver thought ser day out ter peck ther less picked leh thir	103.0	4.0	4.0	4.5
13	word	the thir ti three thieves thought throne pi ter pie per picked peck out imah jin airy mih naw juh jur	112.0	4.0	4.0	4.5
14	word	imah jin airy mih naw juh jur the thir ti three thieves thought throne pi ter pie per picked peck out	121.0	4.0	4.0	4.5
15	word	pi ter pie per picked peck out less ser leh ther neh ver day the thir ti three thieves thought throne	130.0	4.0	4.0	4.5
16	simple	leh leh leh leh leh leh leh leh leh	139.0	4.0	4.0	4.5
17	word	less ser leh ther neh ver day the thir ti three thieves thought throne imah jin airy mih naw juh jur	148.0	4.0	4.0	4.5
18	random	neh ver three picked ter per peck less pie thought the ti ther ser out thieves pi thir leh day throne	157.0	4.0	4.0	4.5
19	random	airy imah ser per jin juh jur day mih ther pi out ver naw neh leh picked less ter pie peck	166.0	4.0	4.0	4.5
20	simple	pie pie pie pie pie pie pie pie pie	175.0	4.0	4.0	4.5
21	simple	per per per per per per per per per	184.0	4.0	4.0	4.5
22	simple	neh neh neh neh neh neh neh neh neh	193.0	4.0	4.0	4.5
23	random	imah juh airy neh ter peck naw less ser picked jin day jur pie mih leh ver per ther out pi	202.0	4.0	4.0	4.5
24	random	imah neh three thieves leh jin mih ver thought ther thir the ti airy jur day juh less throne ser naw	211.0	4.0	4.0	4.5
25	word	imah jin airy mih naw juh jur less ser leh ther neh ver day pi ter pie per picked peck out	220.0	4.0	4.0	4.5
26	random	pi peck the airy juh mih thir jin pie throne three picked jur out ti thieves per imah thought ter naw	229.0	4.0	4.0	4.5
27	random	thought throne neh day mih jin ver thieves ser ther leh ti three the jur imah airy less thir naw juh	238.0	4.0	4.0	4.5
28	simple	pi pi pi pi pi pi pi pi pi	247.0	4.0	4.0	4.5
29	simple	ser ser ser ser ser ser ser ser ser	256.0	4.0	4.0	4.5
30	simple	jur jur jur jur jur jur jur jur jur	265.0	4.0	4.0	4.5
31	random	ter leh thir ver ti pi out ther ser thieves per pie peck throne day three neh the picked less thought	274.0	4.0	4.0	4.5
32	word	the thir ti three thieves thought throne less ser leh ther neh ver day pi ter pie per picked peck out	283.0	4.0	4.0	4.5
33	random	picked less out airy ter pi juh ver mih pie jin ther day jur imah leh ser per peck neh naw	292.0	4.0	4.0	4.5
34	word	the thir ti three thieves thought throne less ser leh ther neh ver day imah jin airy mih naw juh jur	301.0	4.0	4.0	4.5
35	simple	throne throne throne throne throne throne throne throne throne	310.0	4.0	4.0	4.5
36	word	less ser leh ther neh ver day imah jin airy mih naw juh jur pi ter pie per picked peck out	319.0	4.0	4.0	4.5
37	random	ther out pie imah day airy leh jur naw jin juh neh ser per mih pi ver less picked peck ter	328.0	4.0	4.0	4.5
