trial_num	condition	stimulus	start_time	go_signal	resp_time	record_time	rest_dur
1	0	jur jur jur jur jur jur jur jur jur 	4.0	1	4.0	4.5	2.0
2	0	airy airy airy airy airy airy airy airy airy 	10.0	1	4.0	4.5	2.0
3	0	ti ti ti ti ti ti ti ti ti 	16.0	1	4.0	4.5	2.0
4	0	ver ver ver ver ver ver ver ver ver 	22.0	1	4.0	4.5	2.0
5	0	neh neh neh neh neh neh neh neh neh 	28.0	1	4.0	4.5	2.0
6	0	less less less less less less less less less 	34.0	1	4.0	4.5	2.0
7	0	three three three three three three three three three 	40.0	1	4.0	4.5	2.0
8	0	pi pi pi pi pi pi pi pi pi 	46.0	1	4.0	4.5	2.0
9	0	ti ti ti ti ti ti ti ti ti 	52.0	1	4.0	4.5	2.0
10	0	jur jur jur jur jur jur jur jur jur 	58.0	1	4.0	4.5	2.0
11	0	juh juh juh juh juh juh juh juh juh 	64.0	1	4.0	4.5	2.0
12	0	peck peck peck peck peck peck peck peck peck 	70.0	1	4.0	4.5	2.0
13	0	neh neh neh neh neh neh neh neh neh 	76.0	1	4.0	4.5	2.0
14	0	less less less less less less less less less 	82.0	1	4.0	4.5	2.0
15	0	airy airy airy airy airy airy airy airy airy 	88.0	1	4.0	4.5	2.0
16	0	three three three three three three three three three 	94.0	1	4.0	4.5	2.0
17	0	three three three three three three three three three 	100.0	1	4.0	4.5	2.0
18	0	pi pi pi pi pi pi pi pi pi 	106.0	1	4.0	4.5	2.0
19	0	pro pro pro pro pro pro pro pro pro 	112.0	1	4.0	4.5	2.0
20	0	ver ver ver ver ver ver ver ver ver 	118.0	1	4.0	4.5	2.0
21	0	neh neh neh neh neh neh neh neh neh 	124.0	1	4.0	4.5	2.0
22	0	juh juh juh juh juh juh juh juh juh 	130.0	1	4.0	4.5	2.0
23	0	jur jur jur jur jur jur jur jur jur 	136.0	1	4.0	4.5	2.0
24	0	airy airy airy airy airy airy airy airy airy 	142.0	1	4.0	4.5	2.0
25	0	pi pi pi pi pi pi pi pi pi 	148.0	1	4.0	4.5	2.0
26	0	airy airy airy airy airy airy airy airy airy 	154.0	1	4.0	4.5	2.0
27	0	peck peck peck peck peck peck peck peck peck 	160.0	1	4.0	4.5	2.0
28	0	less less less less less less less less less 	166.0	1	4.0	4.5	2.0
29	0	neh neh neh neh neh neh neh neh neh 	172.0	1	4.0	4.5	2.0
30	0	juh juh juh juh juh juh juh juh juh 	178.0	1	4.0	4.5	2.0
31	0	jur jur jur jur jur jur jur jur jur 	184.0	1	4.0	4.5	2.0
32	0	ti ti ti ti ti ti ti ti ti 	190.0	1	4.0	4.5	2.0
33	0	peck peck peck peck peck peck peck peck peck 	196.0	1	4.0	4.5	2.0
34	0	juh juh juh juh juh juh juh juh juh 	202.0	1	4.0	4.5	2.0
35	0	ti ti ti ti ti ti ti ti ti 	208.0	1	4.0	4.5	2.0
36	0	neh neh neh neh neh neh neh neh neh 	214.0	1	4.0	4.5	2.0
37	0	airy airy airy airy airy airy airy airy airy 	220.0	1	4.0	4.5	2.0
38	0	three three three three three three three three three 	226.0	1	4.0	4.5	2.0
39	0	less less less less less less less less less 	232.0	1	4.0	4.5	2.0
40	0	pi pi pi pi pi pi pi pi pi 	238.0	1	4.0	4.5	2.0
41	0	less less less less less less less less less 	244.0	1	4.0	4.5	2.0
42	0	peck peck peck peck peck peck peck peck peck 	250.0	1	4.0	4.5	2.0
43	0	juh juh juh juh juh juh juh juh juh 	256.0	1	4.0	4.5	2.0
44	0	airy airy airy airy airy airy airy airy airy 	262.0	1	4.0	4.5	2.0
45	0	pro pro pro pro pro pro pro pro pro 	268.0	1	4.0	4.5	2.0
46	0	jur jur jur jur jur jur jur jur jur 	274.0	1	4.0	4.5	2.0
47	0	neh neh neh neh neh neh neh neh neh 	280.0	1	4.0	4.5	2.0
48	0	ti ti ti ti ti ti ti ti ti 	286.0	1	4.0	4.5	2.0
49	0	peck peck peck peck peck peck peck peck peck 	292.0	1	4.0	4.5	2.0
50	0	jur jur jur jur jur jur jur jur jur 	298.0	1	4.0	4.5	2.0
51	0	neh neh neh neh neh neh neh neh neh 	304.0	1	4.0	4.5	2.0
52	0	three three three three three three three three three 	310.0	1	4.0	4.5	2.0
53	0	less less less less less less less less less 	316.0	1	4.0	4.5	2.0
54	0	pi pi pi pi pi pi pi pi pi 	322.0	1	4.0	4.5	2.0
55	0	pro pro pro pro pro pro pro pro pro 	328.0	1	4.0	4.5	2.0
56	0	juh juh juh juh juh juh juh juh juh 	334.0	1	4.0	4.5	2.0
57	0	neh neh neh neh neh neh neh neh neh 	340.0	1	4.0	4.5	2.0
58	0	ti ti ti ti ti ti ti ti ti 	346.0	1	4.0	4.5	2.0
59	0	three three three three three three three three three 	352.0	1	4.0	4.5	2.0
60	0	ver ver ver ver ver ver ver ver ver 	358.0	1	4.0	4.5	2.0
61	0	airy airy airy airy airy airy airy airy airy 	364.0	1	4.0	4.5	2.0
62	0	juh juh juh juh juh juh juh juh juh 	370.0	1	4.0	4.5	2.0
63	0	peck peck peck peck peck peck peck peck peck 	376.0	1	4.0	4.5	2.0
64	0	pro pro pro pro pro pro pro pro pro 	382.0	1	4.0	4.5	2.0
