trial_num	condition	stimulus	start_time	go_signal	resp_time	record_time
1	simple	thurs thurs thurs thurs thurs thurs thurs thurs thurs	4.0	4.0	4.0	4.5
2	simple	pot pot pot pot pot pot pot pot pot	13.0	4.0	4.0	4.5
3	simple	how how how how how how how how how	22.0	4.0	4.0	4.5
4	simple	would would would would would would would would would	31.0	4.0	4.0	4.5
5	simple	through through through through through through through through through	40.0	4.0	4.0	4.5
6	simple	ver ver ver ver ver ver ver ver ver	49.0	4.0	4.0	4.5
7	simple	ter ter ter ter ter ter ter ter ter	58.0	4.0	4.0	4.5
8	simple	thought thought thought thought thought thought thought thought thought	67.0	4.0	4.0	4.5
9	simple	much much much much much much much much much	76.0	4.0	4.0	4.5
10	simple	picked picked picked picked picked picked picked picked picked	85.0	4.0	4.0	4.5
11	simple	leh leh leh leh leh leh leh leh leh	94.0	4.0	4.0	4.5
12	simple	three three three three three three three three three	103.0	4.0	4.0	4.5
13	simple	mih mih mih mih mih mih mih mih mih	112.0	4.0	4.0	4.5
14	simple	airy airy airy airy airy airy airy airy airy	121.0	4.0	4.0	4.5
15	simple	mih mih mih mih mih mih mih mih mih	130.0	4.0	4.0	4.5
16	simple	ser ser ser ser ser ser ser ser ser	139.0	4.0	4.0	4.5
17	simple	juh juh juh juh juh juh juh juh juh	148.0	4.0	4.0	4.5
18	simple	pot pot pot pot pot pot pot pot pot	157.0	4.0	4.0	4.5
19	simple	pie pie pie pie pie pie pie pie pie	166.0	4.0	4.0	4.5
20	simple	thrilled thrilled thrilled thrilled thrilled thrilled thrilled thrilled thrilled	175.0	4.0	4.0	4.5
21	simple	day day day day day day day day day	184.0	4.0	4.0	4.5
22	simple	airy airy airy airy airy airy airy airy airy	193.0	4.0	4.0	4.5
23	simple	jur jur jur jur jur jur jur jur jur	202.0	4.0	4.0	4.5
24	simple	thurs thurs thurs thurs thurs thurs thurs thurs thurs	211.0	4.0	4.0	4.5
25	simple	ter ter ter ter ter ter ter ter ter	220.0	4.0	4.0	4.5
26	simple	out out out out out out out out out	229.0	4.0	4.0	4.5
27	simple	peck peck peck peck peck peck peck peck peck	238.0	4.0	4.0	4.5
28	simple	caw caw caw caw caw caw caw caw caw	247.0	4.0	4.0	4.5
29	simple	per per per per per per per per per	256.0	4.0	4.0	4.5
30	simple	ti ti ti ti ti ti ti ti ti	265.0	4.0	4.0	4.5
31	simple	the the the the the the the the the	274.0	4.0	4.0	4.5
32	simple	ther ther ther ther ther ther ther ther ther	283.0	4.0	4.0	4.5
33	simple	fee fee fee fee fee fee fee fee fee	292.0	4.0	4.0	4.5
34	simple	thrilled thrilled thrilled thrilled thrilled thrilled thrilled thrilled thrilled	301.0	4.0	4.0	4.5
35	simple	jin jin jin jin jin jin jin jin jin	310.0	4.0	4.0	4.5
36	simple	imah imah imah imah imah imah imah imah imah	319.0	4.0	4.0	4.5
37	simple	less less less less less less less less less	328.0	4.0	4.0	4.5
38	simple	naw naw naw naw naw naw naw naw naw	337.0	4.0	4.0	4.5
39	simple	caw caw caw caw caw caw caw caw caw	346.0	4.0	4.0	4.5
40	simple	if if if if if if if if if	355.0	4.0	4.0	4.5
