trial_num	condition	sequence_len	trial_dur	iti_dur	record_dur	record_trial	display_trial_feedback	stim	start_time	end_time
0	simple	7	4	1	5	True	False	would would would would would would would	0	5
1	simple	7	4	1	5	True	False	pro pro pro pro pro pro pro	5	10
2	simple	7	4	1	5	True	False	thir thir thir thir thir thir thir	10	15
3	simple	7	4	1	5	True	False	pot pot pot pot pot pot pot	15	20
4	simple	7	4	1	5	True	False	out out out out out out out	20	25
5	simple	7	4	1	5	True	False	chuck chuck chuck chuck chuck chuck chuck	25	30
6	simple	7	4	1	5	True	False	ser ser ser ser ser ser ser	30	35
7	simple	7	4	1	5	True	False	ti ti ti ti ti ti ti	35	40
8	simple	7	4	1	5	True	False	caw caw caw caw caw caw caw	40	45
9	simple	7	4	1	5	True	False	three three three three three three three	45	50
10	simple	7	4	1	5	True	False	thrilled thrilled thrilled thrilled thrilled thrilled thrilled	50	55
11	simple	7	4	1	5	True	False	fee fee fee fee fee fee fee	55	60
12	simple	7	4	1	5	True	False	ther ther ther ther ther ther ther	60	65
13	simple	7	4	1	5	True	False	throne throne throne throne throne throne throne	65	70
14	simple	7	4	1	5	True	False	per per per per per per per	70	75
15	simple	7	4	1	5	True	False	thieves thieves thieves thieves thieves thieves thieves	75	80
16	simple	7	4	1	5	True	False	ver ver ver ver ver ver ver	80	85
17	simple	7	4	1	5	True	False	pie pie pie pie pie pie pie	85	90
18	simple	7	4	1	5	True	False	imah imah imah imah imah imah imah	90	95
19	simple	7	4	1	5	True	False	pi pi pi pi pi pi pi	95	100
20	simple	7	4	1	5	True	False	ter ter ter ter ter ter ter	100	105
21	simple	7	4	1	5	True	False	how how how how how how how	105	110
22	simple	7	4	1	5	True	False	if if if if if if if	110	115
23	simple	7	4	1	5	True	False	less less less less less less less	115	120
24	simple	7	4	1	5	True	False	thought thought thought thought thought thought thought	120	125
25	simple	7	4	1	5	True	False	the the the the the the the	125	130
26	simple	7	4	1	5	True	False	mih mih mih mih mih mih mih	130	135
27	simple	7	4	1	5	True	False	a a a a a a a	135	140
28	simple	7	4	1	5	True	False	peck peck peck peck peck peck peck	140	145
29	simple	7	4	1	5	True	False	much much much much much much much	145	150
30	simple	7	4	1	5	True	False	thurs thurs thurs thurs thurs thurs thurs	150	155
31	simple	7	4	1	5	True	False	juh juh juh juh juh juh juh	155	160
32	simple	7	4	1	5	True	False	jur jur jur jur jur jur jur	160	165
33	simple	7	4	1	5	True	False	leh leh leh leh leh leh leh	165	170
34	simple	7	4	1	5	True	False	naw naw naw naw naw naw naw	170	175
35	simple	7	4	1	5	True	False	day day day day day day day	175	180
36	simple	7	4	1	5	True	False	picked picked picked picked picked picked picked	180	185
37	simple	7	4	1	5	True	False	neh neh neh neh neh neh neh	185	190
38	simple	7	4	1	5	True	False	jin jin jin jin jin jin jin	190	195
39	simple	7	4	1	5	True	False	through through through through through through through	195	200
40	simple	7	4	1	5	True	False	airy airy airy airy airy airy airy	200	205
